FIP5,TITLE,GEOGRAPHY
72013,"Arecibo, PR",CBSA
72013,"San Juan-Bayam??n, PR",CSA
72027,Camuy Municipio,County
72027,"Arecibo, PR",CBSA
72027,"San Juan-Bayam??n, PR",CSA
72065,Hatillo Municipio,County
72065,"Arecibo, PR",CBSA
72065,"San Juan-Bayam??n, PR",CSA
72115,Quebradillas Municipio,County
72115,"Arecibo, PR",CBSA
72115,"San Juan-Bayam??n, PR",CSA
05019,Clark County,County
05019,"Arkadelphia, AR",CBSA
37021,Buncombe County,County
37021,"Asheville, NC",CBSA
37021,"Asheville-Marion-Brevard, NC",CSA
37087,Haywood County,County
37087,"Asheville, NC",CBSA
37087,"Asheville-Marion-Brevard, NC",CSA
37089,Henderson County,County
37089,"Asheville, NC",CBSA
37089,"Asheville-Marion-Brevard, NC",CSA
37115,Madison County,County
37115,"Asheville, NC",CBSA
37115,"Asheville-Marion-Brevard, NC",CSA
39005,Ashland County,County
39005,"Ashland, OH",CBSA
39005,"Mansfield-Ashland-Bucyrus, OH",CSA
39007,Ashtabula County,County
39007,"Ashtabula, OH",CBSA
39007,"Cleveland-Akron-Canton, OH",CSA
41007,Clatsop County,County
41007,"Astoria, OR",CBSA
20005,Atchison County,County
20005,"Atchison, KS",CBSA
20005,"Kansas City-Overland Park-Kansas City, MO-KS",CSA
39009,Athens County,County
39009,"Athens, OH",CBSA
47107,McMinn County,County
47107,"Athens, TN",CBSA
47107,"Chattanooga-Cleveland-Dalton, TN-GA",CSA
48213,Henderson County,County
48213,"Athens, TX",CBSA
48213,"Dallas-Fort Worth, TX-OK",CSA
13059,Clarke County,County
13059,"Athens-Clarke County, GA",CBSA
13059,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13195,Madison County,County
13195,"Athens-Clarke County, GA",CBSA
13195,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13219,Oconee County,County
13219,"Athens-Clarke County, GA",CBSA
13219,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13221,Oglethorpe County,County
13221,"Athens-Clarke County, GA",CBSA
13221,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13013,Barrow County,County
13013,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13013,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13015,Bartow County,County
13015,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13015,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13035,Butts County,County
13035,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13035,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13045,Carroll County,County
13045,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13045,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13057,Cherokee County,County
13057,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13057,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13063,Clayton County,County
13063,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13063,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13067,Cobb County,County
13067,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13067,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13077,Coweta County,County
13077,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13077,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13085,Dawson County,County
13085,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13085,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13089,DeKalb County,County
13089,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13089,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13097,Douglas County,County
13097,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13097,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13113,Fayette County,County
13113,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13113,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13117,Forsyth County,County
13117,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13117,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13121,Fulton County,County
13121,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13121,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13135,Gwinnett County,County
13135,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13135,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13143,Haralson County,County
13143,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13143,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13149,Heard County,County
13149,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13149,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13151,Henry County,County
13151,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13151,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13159,Jasper County,County
13159,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13159,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13171,Lamar County,County
13171,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13171,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13199,Meriwether County,County
13199,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13199,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13211,Morgan County,County
13211,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13211,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13217,Newton County,County
13217,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13217,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13223,Paulding County,County
13223,"Atlanta-Sandy Springs-Alpharetta, GA",CBSA
13223,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",CSA
13227,Pickens County,County
